SampleID,Actinobacteria,Bacteroides,Bacteroidetes,Bifidobacterium,Clostridium,Cyanobacteria,Firmicutes,Fusobacteria,Lactobacillus,Other,Prevotella,Proteobacteria,Tenericutes,Verrucomicrobia,Age,Sex
000007117.1075649,0.3244,0.0013,0.0315,0.0,0.0013,0.0352,0.2629,0.0082,0.0027,0.0461,0.0028,0.2821,0.001,0.0005,59,1
000007115.1075661,0.0347,0.0087,0.1735,0.0018,0.0149,0.0289,0.1783,0.0032,0.0166,0.0153,0.0025,0.5196,0.0,0.002,59,1
000007123.1075697,0.0493,0.0,0.0153,0.0,0.0002,0.1265,0.0451,0.0025,0.1222,0.0024,0.0007,0.6347,0.0,0.0011,59,1
000009713.1130401,0.4052,0.001,0.0091,0.0,0.0002,0.0265,0.4219,0.0026,0.0015,0.0055,0.0062,0.1191,0.0,0.0012,70,0
000005598.1130569,0.2394,0.0072,0.0401,0.0001,0.001,0.0255,0.2582,0.0013,0.017,0.0209,0.0024,0.3828,0.0003,0.0038,72,1
000015216.fixed8,0.2789,0.0027,0.0605,0.0,0.0026,0.0584,0.2108,0.0015,0.0111,0.0896,0.0046,0.2513,0.0002,0.0278,45,0
000015465.fixed192,0.3539,0.0018,0.0163,0.0,0.0,0.0476,0.3109,0.0069,0.0011,0.0074,0.0105,0.2432,0.0,0.0004,68,1
000007112.1075685,0.2506,0.0074,0.0424,0.0001,0.0013,0.0284,0.288,0.0021,0.0203,0.0178,0.0063,0.3282,0.0006,0.0065,59,1
000005221.1053844,0.2884,0.0001,0.0965,0.0002,0.0,0.0028,0.4698,0.0298,0.0003,0.0052,0.0078,0.099,0.0001,0.0,38,1
000009711.1130103,0.3433,0.0005,0.0184,0.0003,0.0007,0.0441,0.2501,0.0019,0.0024,0.0134,0.007,0.3164,0.0004,0.0011,70,0
000005067.1053894,0.5935,0.0002,0.0041,0.0002,0.0,0.0004,0.3304,0.0035,0.0096,0.0015,0.0059,0.0507,0.0,0.0,59,1
000007119.1075659,0.115,0.0132,0.0691,0.0001,0.0024,0.0412,0.1217,0.0186,0.0057,0.0202,0.0099,0.5789,0.0003,0.0037,59,1
000003320.1053766,0.1358,0.003,0.0219,0.0019,0.0013,0.1347,0.4181,0.0004,0.0092,0.0046,0.001,0.2675,0.0,0.0006,66,0
000003350.1131718,0.0034,0.047,0.0517,0.0,0.0176,0.0006,0.7458,0.0,0.0002,0.0018,0.0505,0.019,0.0585,0.0039,65,1
000007113.1075702,0.2099,0.0044,0.0354,0.0004,0.0037,0.0353,0.4062,0.0028,0.009,0.0098,0.0208,0.257,0.0012,0.0041,59,1
000015163.fixed42,0.3427,0.0008,0.01,0.0001,0.0008,0.0089,0.2116,0.0055,0.0002,0.002,0.014,0.4027,0.0001,0.0006,60,1
000015217.fixed99,0.1628,0.0006,0.0737,0.0002,0.0009,0.0698,0.3175,0.0057,0.001,0.0253,0.0048,0.3298,0.0,0.0079,45,0
000007110.1075668,0.3408,0.0,0.0166,0.0003,0.0007,0.0227,0.3613,0.0033,0.0015,0.017,0.0029,0.2315,0.0007,0.0007,59,1
000005290.1053869,0.0869,0.0005,0.0089,0.0002,0.0002,0.2121,0.601,0.0062,0.008,0.0026,0.0021,0.0703,0.0004,0.0006,67,1
000006972.1130166,0.1373,0.0007,0.0557,0.0,0.0001,0.011,0.1929,0.003,0.0057,0.0077,0.003,0.582,0.0,0.0009,59,0
000007103.1075699,0.2486,0.0271,0.0513,0.0011,0.0086,0.0646,0.3014,0.0008,0.0063,0.0382,0.0659,0.1724,0.0015,0.0122,51,1
000005644.1053889,0.1586,0.0,0.0401,0.0001,0.0003,0.0786,0.2137,0.0065,0.0004,0.0025,0.0064,0.4918,0.0001,0.0009,63,0
000015179.fixed9,0.2367,0.0025,0.0182,0.0,0.0006,0.0043,0.388,0.0085,0.0773,0.0004,0.1154,0.1478,0.0002,0.0001,24,0
000005421.1053753,0.1503,0.0002,0.085,0.0032,0.0007,0.0221,0.3168,0.0048,0.0173,0.0173,0.0057,0.3725,0.0,0.0041,52,0
000005262.1053760,0.3592,0.0005,0.0095,0.0005,0.0,0.1048,0.2958,0.0095,0.0012,0.0005,0.0009,0.2176,0.0,0.0,26,1
000004206.1053725,0.0785,0.0655,0.0256,0.012,0.0015,0.1443,0.5297,0.0054,0.003,0.0014,0.0017,0.1266,0.0008,0.004,74,0
000011111.1210792,0.0023,0.4499,0.1053,0.0047,0.0049,0.0003,0.4038,0.001,0.0,0.001,0.0018,0.0174,0.0067,0.0009,64,1
000006879.1130118,0.0014,0.0609,0.0851,0.0274,0.006,0.0,0.7927,0.0,0.0005,0.0002,0.0017,0.0115,0.0124,0.0002,30,0
000015221.fixed216,0.2207,0.0134,0.0535,0.0002,0.0047,0.0098,0.2593,0.0247,0.006,0.0129,0.0147,0.3766,0.0031,0.0004,52,1
000007080.1075651,0.3437,0.0007,0.022,0.0007,0.0019,0.0529,0.475,0.0037,0.0007,0.0016,0.0031,0.0937,0.0001,0.0002,46,1
000007079.1075687,0.2128,0.0043,0.0185,0.0011,0.0012,0.0945,0.5274,0.0028,0.0005,0.0015,0.0025,0.1327,0.0001,0.0001,46,1
000007120.1075677,0.0042,0.0368,0.0095,0.0015,0.0452,0.0,0.4267,0.0,0.0001,0.0002,0.4571,0.0115,0.0071,0.0001,59,1
000007078.1075691,0.2597,0.0,0.0151,0.0001,0.0006,0.0884,0.4902,0.0037,0.0007,0.0012,0.0025,0.1378,0.0,0.0,46,1
000007084.1075710,0.0785,0.0016,0.026,0.0,0.0,0.0094,0.4783,0.0171,0.0147,0.002,0.0503,0.3221,0.0,0.0,26,0
000007122.1075681,0.0544,0.0003,0.0164,0.0,0.0002,0.2822,0.0682,0.0056,0.1861,0.0048,0.0034,0.3773,0.0001,0.001,59,1
000007089.1075709,0.2669,0.0001,0.0314,0.0,0.0,0.0002,0.3128,0.0049,0.0003,0.0002,0.0102,0.373,0.0,0.0,19,1
000007121.1075675,0.1994,0.0001,0.0137,0.0,0.0004,0.0609,0.2394,0.015,0.0555,0.0027,0.0047,0.4077,0.0,0.0005,59,1
000001291.1075802,0.0065,0.0013,0.0001,0.002,0.0001,0.0,0.9835,0.0,0.0001,0.0,0.0001,0.0063,0.0,0.0,56,1
000002180.1076396,0.0257,0.0424,0.0007,0.0001,0.0003,0.0,0.9305,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,60,1
000003638.1053935,0.1608,0.0008,0.0153,0.0005,0.0,0.0328,0.5881,0.0243,0.0018,0.0049,0.0261,0.1441,0.0001,0.0004,56,0
000005555.1053864,0.2034,0.0004,0.0386,0.0,0.0,0.0448,0.3732,0.0326,0.0004,0.0023,0.0032,0.3005,0.0001,0.0005,23,0
000005573.1053893,0.232,0.0015,0.0348,0.0009,0.0002,0.2232,0.2923,0.0086,0.0001,0.0003,0.008,0.1981,0.0,0.0,24,1
000005065.1053744,0.3428,0.0,0.008,0.0002,0.0,0.0068,0.4624,0.0157,0.0312,0.006,0.0164,0.1105,0.0,0.0,59,1
